BC,British Columbia
AB,Alberta
SK,Saskatchewan
MB,Manitoba
ON,Ontario
QC,Quebec
NB,New Brunswick
PE,Prince Edward Island
NS,Nova Scotia
NL,Newfoundland
YK,Yukon
NW,Northwest Territories
NU,Nunavut 
