space,date,demand
1236,2013-01-01,416.115393518517
1236,2013-01-02,479.426099537033
1236,2013-01-03,466.478819444467
1236,2013-01-04,362.374826388867
1236,2013-01-05,188.143402777767
1236,2013-01-06,238.520833333317
1236,2013-01-07,491.7744212963
1236,2013-01-08,448.966840277767
1236,2013-01-09,372.8630787037
1236,2013-01-10,443.6748263889
1236,2013-01-11,532.022685185183
1236,2013-01-12,469.667361111133
1236,2013-01-13,490.19444444445
1236,2013-01-14,625.096932870383
1236,2013-01-15,520.907175925917
1236,2013-01-16,471.446412037033
1236,2013-01-17,448.448090277767
1236,2013-01-18,397.620023148133
1236,2013-01-19,286.352488425933
1236,2013-01-20,363.182349537017
1236,2013-01-21,567.444097222217
1236,2013-01-22,495.994560185167
1236,2013-01-23,384.157291666667
1236,2013-01-24,372.6025462963
1236,2013-01-25,299.43159722225
1236,2013-01-26,182.664814814817
1236,2013-01-27,227.153819444467
1236,2013-01-28,537.16533564815
1236,2013-01-29,420.563310185183
1236,2013-01-30,386.169444444433
1236,2013-01-31,349.1880787037
1236,2013-02-01,300.193692129633
1236,2013-02-02,182.236458333333
1236,2013-02-03,224.260358796317
1236,2013-02-04,416.642187500017
1236,2013-02-05,370.054629629617
1236,2013-02-06,372.204803240733
1236,2013-02-07,383.972800925933
1236,2013-02-08,374.1721064815
1236,2013-02-09,173.168923611117
1236,2013-02-10,208.005381944433
1236,2013-02-11,415.51377314815
1236,2013-02-12,384.262326388883
1236,2013-02-13,345.294386574083
1236,2013-02-14,363.35497685185
1236,2013-02-15,302.24016203705
1236,2013-02-16,98.0533564814833
1236,2013-02-17,203.367534722217
1236,2013-02-18,484.48524305555
1236,2013-02-19,394.430844907417
1236,2013-02-20,420.026504629617
1236,2013-02-21,383.21180555555
1236,2013-02-22,344.86105324075
1236,2013-02-23,144.1744212963
1236,2013-02-24,222.430381944433
1236,2013-02-25,455.597511574083
1236,2013-02-26,442.008333333317
1236,2013-02-27,396.451678240733
1236,2013-02-28,402.53015046295
1236,2013-03-01,296.58744212965
1236,2013-03-02,138.835358796283
1236,2013-03-03,183.778414351833
1236,2013-03-04,420.90202546295
1236,2013-03-05,387.139120370367
1236,2013-03-06,370.514409722217
1236,2013-03-07,352.2146412037
1236,2013-03-08,295.472164351867
1236,2013-03-09,101.172511574083
1236,2013-03-10,139.775617283933
1236,2013-03-11,374.5634837963
1236,2013-03-12,333.410474537033
1236,2013-03-13,289.704976851867
1236,2013-03-14,289.579050925933
1236,2013-03-15,256.931307870367
1236,2013-03-16,148.761516203717
1236,2013-03-17,222.6342013889
1236,2013-03-18,395.127141203733
1236,2013-03-19,366.475520833333
1236,2013-03-20,339.2158564815
1236,2013-03-21,343.521990740733
1236,2013-03-22,345.774652777783
1236,2013-03-23,139.564930555567
1236,2013-03-24,149.517939814817
1236,2013-03-25,312.644039351867
1236,2013-03-26,260.693287037033
1236,2013-03-27,224.376388888883
1236,2013-03-28,134.278472222217
1236,2013-03-29,59.1254050926167
1236,2013-03-30,59.7438657407333
1236,2013-03-31,52.2660879629667
1236,2013-04-01,57.9818287037167
1236,2013-04-02,255.902025462967
1236,2013-04-03,203.318287037033
1236,2013-04-04,242.666030092583
1236,2013-04-05,214.418402777767
1236,2013-04-06,76.7550347222333
1236,2013-04-07,111.913425925917
1236,2013-04-08,305.14189814815
1236,2013-04-09,293.9146412037
1236,2013-04-10,279.237037037033
1236,2013-04-11,276.1541087963
1236,2013-04-12,298.77118055555
1236,2013-04-13,151.925520833333
1236,2013-04-14,144.780902777783
1236,2013-04-15,293.23859953705
1236,2013-04-16,227.728530092583
1236,2013-04-17,222.303182870367
1236,2013-04-18,299.385879629633
1236,2013-04-19,245.1960648148
1236,2013-04-20,82.0746527777667
1236,2013-04-21,102.146354166667
1236,2013-04-22,262.7560185185
1236,2013-04-23,215.827546296283
1236,2013-04-24,106.8447337963
1236,2013-04-25,116.51394675925
1236,2013-04-26,159.838715277783
1236,2013-04-27,80.7286458333333
1236,2013-04-28,62.1074074073833
1236,2013-04-29,335.41417824075
